Strike,Strike_Price,Maturity_Days,Call_Price,Put_Price
ATM-5%,3712.3149999999996,30,225.5361938920546,10.249765841772444
ATM-5%,3712.3149999999996,60,259.5121117168155,24.430945603075884
ATM-5%,3712.3149999999996,90,290.8103749987904,36.04058885181041
ATM-2%,3829.546,30,132.7682861827784,34.084391983539945
ATM-2%,3829.546,60,173.36686988380006,54.26314062962683
ATM-2%,3829.546,90,207.6616973419782,68.24760215877836
ATM,3907.7,30,84.75681712643564,63.80794549455936
ATM,3907.7,60,126.3178404750488,84.53240246058635
ATM,3907.7,90,160.82740220987898,98.31710100253122
ATM+2%,3985.854,30,49.56778435147976,106.35393528696613
ATM+2%,3985.854,60,88.3166362739189,123.84948949916725
ATM+2%,3985.854,90,121.32956905350898,135.72306182201532
ATM+5%,4103.085,30,18.54035307264951,191.92903785917952
ATM+5%,4103.085,60,47.59571688246933,199.10600696728443
ATM+5%,4103.085,90,75.55359829264648,205.30278202493218
